date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:47	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Jan%202022%2019:05:39%20GMT	https://www.tutorialesprogramacionya.com/robots.txt		(from )
20:05:47	6995/6995	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2019:05:39%20GMT	https://www.tutorialesprogramacionya.com/angularya/	C:/My%20Web%20Sites/Tutoriales_Angular_Ya/www.tutorialesprogramacionya.com/angularya/index.html	(from )
20:05:48	109518/109518	---M--	200	added ('OK')	text/css	etag:%221abce-57e3f3a598567%22	https://www.tutorialesprogramacionya.com/css/bootstrap.min.css	C:/My%20Web%20Sites/Tutoriales_Angular_Ya/www.tutorialesprogramacionya.com/css/bootstrap.min.css	(from https://www.tutorialesprogramacionya.com/angularya/)
20:05:48	1354/1354	---M--	200	added ('OK')	text/css	etag:%2254a-568447e2ed6c0%22	https://www.tutorialesprogramacionya.com/angularya/estilos.css	C:/My%20Web%20Sites/Tutoriales_Angular_Ya/www.tutorialesprogramacionya.com/angularya/estilos.css	(from https://www.tutorialesprogramacionya.com/angularya/)
20:05:48	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Tutoriales_Angular_Ya/www.google-analytics.com/analytics.js	(from https://www.tutorialesprogramacionya.com/angularya/)
20:05:55	5638/5638	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2019:05:41%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=1&codigo=1&inicio=0	C:/My%20Web%20Sites/Tutoriales_Angular_Ya/www.tutorialesprogramacionya.com/angularya/detalleconcepto0ec9.html	(from https://www.tutorialesprogramacionya.com/angularya/)
20:05:55	150665/150665	---MC-	200	added ('OK')	text/javascript	date:Mon,%2031%20Jan%202022%2019:05:48%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/Tutoriales_Angular_Ya/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.tutorialesprogramacionya.com/angularya/)
20:05:55	6797/6797	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2019:05:47%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=2&codigo=2&inicio=0	C:/My%20Web%20Sites/Tutoriales_Angular_Ya/www.tutorialesprogramacionya.com/angularya/detalleconcepto3ad5.html	(from https://www.tutorialesprogramacionya.com/angularya/)
20:05:56	37047/37047	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2019:05:48%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=3&codigo=3&inicio=0	C:/My%20Web%20Sites/Tutoriales_Angular_Ya/www.tutorialesprogramacionya.com/angularya/detalleconcepto2ac2.html	(from https://www.tutorialesprogramacionya.com/angularya/)
20:05:56	8076/8076	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2019:05:48%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=4&codigo=4&inicio=0	C:/My%20Web%20Sites/Tutoriales_Angular_Ya/www.tutorialesprogramacionya.com/angularya/detalleconceptobb8b.html	(from https://www.tutorialesprogramacionya.com/angularya/)
